,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
0,1,Pierre-Emerick Aubameyang,F M,36,2740,22,5,3.09,1.08,23.55+1.55,4.99-0.01,0.77,0.16
1,2,Alexandre Lacazette,F,35,2498,13,8,2.92,1.12,12.03-0.97,4.10-3.90,0.43,0.15
2,3,Henrikh Mkhitaryan,F M,25,1647,6,4,2.68,1.58,5.34-0.66,6.49+2.49,0.29,0.35
3,4,Mesut Özil,M,24,1751,5,2,0.57,2.31,2.23-2.77,4.29+2.29,0.11,0.22
4,5,Granit Xhaka,D M,29,2511,4,2,1.04,1.43,1.88-2.12,3.52+1.52,0.07,0.13
5,6,Aaron Ramsey,M,28,1326,4,6,2.24,1.7,3.71-0.29,2.30-3.70,0.25,0.16
6,7,Laurent Koscielny,D,17,1326,3,0,0.34,0.14,2.11-0.89,0.12+0.12,0.14,0.01
7,8,Alex Iwobi,F M,35,1974,3,6,1.6,1.82,3.72+0.72,7.64+1.64,0.17,0.35
8,9,Lucas Torreira,M,34,2366,2,2,0.95,0.61,1.80-0.20,1.71-0.29,0.07,0.07
9,10,Shkodran Mustafi,D,31,2629,2,0,0.62,0.21,1.86-0.14,0.28+0.28,0.06,0.01
10,11,Sokratis,D,25,2198,1,2,0.45,0.2,0.83-0.17,0.63-1.37,0.03,0.03
11,12,Nacho Monreal,D M,22,1857,1,3,0.34,0.53,1.23+0.23,2.01-0.99,0.06,0.1
12,13,Danny Welbeck,F,8,137,1,1,2.63,3.28,0.79-0.21,0.28-0.72,0.52,0.19
13,14,Ainsley Maitland-Niles,D M,16,976,1,1,0.46,0.55,1.02+0.02,1.06+0.06,0.09,0.1
14,15,Eddie Nketiah,S,5,54,1,0,5.0,1.67,0.27-0.73,0.13+0.13,0.45,0.22
15,16,Bernd Leno,GK,32,2833,0,0,0.0,0.0,0.00,0.00,0.0,0.0
16,17,Sead Kolasinac,D M,24,1897,0,5,0.43,1.47,0.41+0.41,6.74+1.74,0.02,0.32
17,18,Petr Cech,GK,7,587,0,0,0.0,0.0,0.00,0.00,0.0,0.0
18,19,Héctor Bellerín,D M,19,1539,0,5,1.05,0.47,0.96+0.96,2.46-2.54,0.06,0.14
19,20,Mohamed Elneny,M,8,383,0,0,1.64,1.17,0.45+0.45,0.22+0.22,0.11,0.05
20,21,Carl Jenkinson,M,3,166,0,0,0.0,0.54,0.00,0.06+0.06,0.0,0.03
21,22,Stephan Lichtsteiner,D,14,953,0,0,0.09,0.28,0.02+0.02,0.09+0.09,0.0,0.01
22,23,Rob Holding,D,10,807,0,0,0.22,0.22,0.12+0.12,0.17+0.17,0.01,0.02
23,24,Denis Suárez,S,4,59,0,0,0.0,0.0,0.00,0.00,0.0,0.0
24,25,Matteo Guendouzi,M,33,2132,0,0,0.68,0.72,0.48+0.48,1.50+1.50,0.02,0.06
25,26,Joe Willock,M,2,66,0,0,2.73,0.0,0.13+0.13,0.00,0.18,0.0
26,27,Konstantinos Mavropanos,D,4,149,0,0,1.21,0.6,0.10+0.10,0.57+0.57,0.06,0.34
27,28,Bukayo Saka,S,1,6,0,0,0.0,0.0,0.00,0.00,0.0,0.0
