,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
0,1,Aleksandar Mitrovic,F,37,3285,11,3,3.59,0.85,15.45+4.45,2.97-0.03,0.42,0.08
1,2,André Schürrle,F M,24,1670,6,0,2.96,1.13,3.32-2.68,1.93+1.93,0.18,0.1
2,3,Ryan Babel,F M,16,1276,5,3,1.9,1.62,5.75+0.75,2.55-0.45,0.41,0.18
3,4,Aboubakar Kamara,F M,13,678,3,0,2.79,1.46,3.53+0.53,0.77+0.77,0.47,0.1
4,5,Calum Chambers,D M,31,2588,2,0,1.22,0.56,2.44+0.44,0.96+0.96,0.08,0.03
5,6,Ryan Sessegnon,D F M,35,2300,2,6,1.1,1.29,4.27+2.27,3.99-2.01,0.17,0.16
6,7,Luciano Vietto,F M,20,975,1,4,2.22,2.03,2.84+1.84,2.44-1.56,0.26,0.22
7,8,Jean Michael Seri,M,32,2274,1,2,0.75,2.26,0.82-0.18,4.04+2.04,0.03,0.16
8,9,Floyd Ayité,F M,16,441,1,0,1.43,1.84,0.35-0.65,0.50+0.50,0.07,0.1
9,10,Tom Cairney,F M,31,2207,1,1,0.98,1.63,1.15+0.15,3.00+2.00,0.05,0.12
10,11,Håvard Nordtveit,D,5,361,0,1,0.0,0.75,0.00,0.12-0.88,0.0,0.03
11,12,Timothy Fosu-Mensah,D,12,797,0,0,0.45,0.68,0.08+0.08,0.37+0.37,0.01,0.04
12,13,Alfie Mawson,D,15,1124,0,0,0.16,0.16,0.32+0.32,0.05+0.05,0.03,0.0
13,14,Sergio Rico,GK,29,2610,0,0,0.0,0.07,0.00,0.08+0.08,0.0,0.0
14,15,Fabri,GK,2,180,0,0,0.0,0.0,0.00,0.00,0.0,0.0
15,16,Maxime Le Marchand,D,26,2251,0,1,0.2,0.36,0.16+0.16,0.81-0.19,0.01,0.03
16,17,Lazar Markovic,S,1,42,0,0,0.0,2.14,0.00,0.01+0.01,0.0,0.03
17,18,Franck Zambo,M,22,1515,0,0,1.25,0.42,0.65+0.65,0.25+0.25,0.04,0.01
18,19,Cyrus Christie,D M,28,1932,0,1,0.56,0.79,0.39+0.39,1.20+0.20,0.02,0.06
19,20,Joe Bryan,D M,28,2364,0,1,0.8,0.91,0.55+0.55,4.40+3.40,0.02,0.17
20,21,Kevin McDonald,M,15,843,0,0,0.43,0.43,0.11+0.11,0.10+0.10,0.01,0.01
21,22,Stefan Johansen,M,12,406,0,0,0.22,0.22,0.04+0.04,0.05+0.05,0.01,0.01
22,23,Ibrahima Cissé,M,3,85,0,0,0.0,0.0,0.00,0.00,0.0,0.0
23,24,Neeskens Kebano,S,7,93,0,0,0.97,0.0,0.05+0.05,0.00,0.05,0.0
24,25,Marcus Bettinelli,GK,7,630,0,0,0.0,0.0,0.00,0.00,0.0,0.0
25,26,Denis Odoi,D,31,2591,0,1,0.35,0.38,0.72+0.72,0.57-0.43,0.03,0.02
26,27,Tim Ream,D,26,2057,0,0,0.04,0.13,0.02+0.02,0.24+0.24,0.0,0.01
27,28,Harvey Elliott,S,2,16,0,0,5.63,0.0,0.06+0.06,0.00,0.32,0.0
