,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
0,1,Sadio Mané,F M,36,3100,22,1,2.53,1.31,16.76-5.24,5.12+4.12,0.49,0.15
1,2,Mohamed Salah,F,38,3274,22,8,3.77,1.87,21.79-0.21,10.47+2.47,0.6,0.29
2,3,Roberto Firmino,F M,34,2631,12,6,2.57,1.47,13.74+1.74,6.34+0.34,0.47,0.22
3,4,Xherdan Shaqiri,M,24,1048,6,3,2.23,1.72,4.06-1.94,1.89-1.11,0.35,0.16
4,5,James Milner,D M,31,1775,5,4,1.22,2.23,3.36-1.64,5.64+1.64,0.17,0.29
5,6,Virgil van Dijk,D,38,3388,4,2,0.82,0.19,3.51-0.49,1.27-0.73,0.09,0.03
6,7,Divock Origi,F,12,357,3,1,3.28,0.76,2.24-0.76,0.19-0.81,0.57,0.05
7,8,Georginio Wijnaldum,M,35,2749,3,0,0.98,0.82,3.18+0.18,1.94+1.94,0.1,0.06
8,9,Daniel Sturridge,F,18,484,2,1,3.35,1.49,1.50-0.50,1.07+0.07,0.28,0.2
9,10,Naby Keita,M,25,1407,2,1,1.73,0.58,2.55+0.55,1.07+0.07,0.16,0.07
10,11,Joel Matip,D,22,1535,1,0,0.47,0.18,0.90-0.10,0.18+0.18,0.05,0.01
11,12,Dejan Lovren,D,13,988,1,0,0.55,0.09,0.91-0.09,0.11+0.11,0.08,0.01
12,13,Jordan Henderson,D M,32,1979,1,3,0.73,0.68,1.51+0.51,1.69-1.31,0.07,0.08
13,14,Trent Alexander-Arnold,D,29,2475,1,12,1.05,1.75,1.49+0.49,7.22-4.78,0.05,0.26
14,15,Fabinho,D M,28,2006,1,2,0.76,0.72,1.14+0.14,1.31-0.69,0.05,0.06
15,16,Adam Lallana,F M,13,459,0,0,0.98,1.76,0.30+0.30,0.54+0.54,0.06,0.11
16,17,Nathaniel Clyne,D,4,103,0,0,2.62,0.0,0.08+0.08,0.00,0.07,0.0
17,18,Alberto Moreno,D,2,156,0,0,0.58,1.73,0.02+0.02,0.14+0.14,0.01,0.08
18,19,Alex Oxlade-Chamberlain,S,2,17,0,0,5.29,5.29,0.47+0.47,0.12+0.12,2.47,0.61
19,20,Joseph Gomez,D,16,1052,0,0,0.43,0.6,0.23+0.23,0.42+0.42,0.02,0.04
20,21,Alisson,GK,38,3420,0,0,0.0,0.0,0.00,0.00,0.0,0.0
21,22,Andrew Robertson,D,36,3223,0,11,0.45,1.4,0.86+0.86,8.06-2.94,0.02,0.22
22,23,Rafael Camacho,S,1,1,0,0,0.0,0.0,0.00,0.00,0.0,0.0
