,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
0,1,James Ward-Prowse,M,26,1940,7,0,1.44,2.18,3.40-3.60,3.28+3.28,0.16,0.15
1,2,Danny Ings,F,24,1694,7,3,2.98,1.49,9.92+2.92,3.35+0.35,0.53,0.18
2,3,Nathan Redmond,F M,38,3283,6,4,2.03,1.43,7.91+1.91,5.31+1.31,0.22,0.15
3,4,Shane Long,F M,26,1262,5,1,2.14,0.93,5.44+0.44,1.60+0.60,0.39,0.11
4,5,Pierre-Emile Højbjerg,M,31,2770,4,3,1.72,0.91,2.26-1.74,2.35-0.65,0.07,0.08
5,6,Stuart Armstrong,M,29,1424,3,2,2.02,1.83,2.12-0.88,1.65-0.35,0.13,0.1
6,7,Charlie Austin,F,25,983,2,2,2.93,0.82,3.80+1.80,1.01-0.99,0.35,0.09
7,8,Yan Valery,D M,23,1714,2,1,0.32,0.32,0.72-1.28,0.25-0.75,0.04,0.01
8,9,Ryan Bertrand,D M,24,2160,1,0,0.67,0.96,1.26+0.26,1.72+1.72,0.05,0.07
9,10,Oriol Romeu,M,31,2155,1,0,0.42,0.38,0.96-0.04,1.71+1.71,0.04,0.07
10,11,Cédric Soares,D M,18,1494,1,2,0.6,0.72,0.27-0.73,1.14-0.86,0.02,0.07
11,12,Matt Targett,D M,16,1180,1,3,0.84,1.75,0.60-0.40,2.12-0.88,0.05,0.16
12,13,Mario Lemina,M,21,1617,1,1,1.39,0.72,0.90-0.10,1.32+0.32,0.05,0.07
13,14,Manolo Gabbiadini,F M,12,459,1,0,3.92,0.98,1.76+0.76,0.24+0.24,0.34,0.05
14,15,Jack Stephens,D,24,1695,1,0,0.37,0.27,1.46+0.46,0.23+0.23,0.08,0.01
15,16,Michael Obafemi,F,6,131,1,1,4.81,1.37,1.89+0.89,0.34-0.66,1.3,0.23
16,17,Jannik Vestergaard,D,23,2033,0,0,0.62,0.22,0.68+0.68,0.53+0.53,0.03,0.02
17,18,Alex McCarthy,GK,25,2250,0,0,0.0,0.0,0.00,0.00,0.0,0.0
18,19,Fraser Forster,GK,1,90,0,0,0.0,0.0,0.00,0.00,0.0,0.0
19,20,Maya Yoshida,D,17,1520,0,1,0.83,0.3,1.83+1.83,1.07+0.07,0.11,0.06
20,21,Steven Davis,M,3,96,0,1,0.0,2.81,0.00,0.45-0.55,0.0,0.42
21,22,Wesley Hoedt,D,13,1170,0,0,0.46,0.08,0.59+0.59,0.02+0.02,0.05,0.0
22,23,Sam Gallagher,S,4,30,0,0,0.0,0.0,0.00,0.00,0.0,0.0
23,24,Angus Gunn,GK,12,1080,0,0,0.0,0.0,0.00,0.00,0.0,0.0
24,25,Josh Sims,M,7,205,0,1,2.2,0.44,0.77+0.77,0.70-0.30,0.34,0.31
25,26,Jan Bednarek,D,25,2150,0,1,0.21,0.38,0.84+0.84,0.62-0.38,0.04,0.03
26,27,Mohamed Elyounoussi,M,16,786,0,0,2.29,1.72,2.21+2.21,1.14+1.14,0.25,0.13
27,28,Tyreke Johnson,S,1,1,0,0,0.0,0.0,0.00,0.00,0.0,0.0
28,29,Kayne Ramsay,D,1,90,0,0,0.0,0.0,0.00,0.00,0.0,0.0
29,30,Callum Slattery,M,3,107,0,0,0.84,0.0,0.10+0.10,0.00,0.08,0.0
