,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
0,1,Karlan Grant,F M,13,868,4,0,2.18,0.83,3.28-0.72,0.27+0.27,0.34,0.03
1,2,Zanka,D,24,2151,3,1,0.33,0.33,1.48-1.52,0.39-0.61,0.06,0.02
2,3,Aaron Mooy,M,29,2326,3,1,1.66,1.66,2.42-0.58,2.75+1.75,0.09,0.11
3,4,Alex Pritchard,F M,30,2114,2,0,2.0,1.36,2.62+0.62,2.08+2.08,0.11,0.09
4,5,Steve Mounie,F,31,1775,2,3,3.09,0.91,5.63+3.63,1.87-1.13,0.29,0.09
5,6,Philip Billing,M,27,2199,2,0,1.72,0.9,1.66-0.34,1.82+1.82,0.07,0.07
6,7,Jon Gorenc Stankovic,D M,11,728,1,0,1.11,0.25,1.46+0.46,0.12+0.12,0.18,0.01
7,8,Isaac Mbenza,F M,22,956,1,1,1.51,0.66,0.90-0.10,0.98-0.02,0.08,0.09
8,9,Christopher Schindler,D,37,3266,1,0,0.36,0.06,1.04+0.04,0.40+0.40,0.03,0.01
9,10,Terence Kongolo,D,32,2728,1,1,0.46,0.3,1.42+0.42,0.84-0.16,0.05,0.03
10,11,Juninho Bacuna,D M,21,1418,1,0,1.21,1.14,0.80-0.20,1.40+1.40,0.05,0.09
11,12,Elias Kachunga,F M,20,1181,0,0,1.07,0.38,0.98+0.98,0.24+0.24,0.07,0.02
12,13,Jason Puncheon,M,6,382,0,0,1.41,1.18,0.61+0.61,0.84+0.84,0.14,0.2
13,14,Ben Hamer,GK,7,552,0,0,0.0,0.0,0.00,0.00,0.0,0.0
14,15,Ramadan Sobhi,S,4,68,0,0,0.0,3.97,0.00,0.18+0.18,0.0,0.23
15,16,Erik Durm,D M,28,2049,0,1,0.44,0.48,0.28+0.28,0.47-0.53,0.01,0.02
16,17,Jonas Lössl,GK,31,2778,0,1,0.0,0.13,0.00,0.39-0.61,0.0,0.01
17,18,Florent Hadergjonaj,D M,24,1843,0,0,0.29,1.12,0.22+0.22,1.38+1.38,0.01,0.07
18,19,Adama Diakhaby,F M,12,560,0,0,1.13,0.8,0.87+0.87,0.54+0.54,0.14,0.09
19,20,Tommy Smith,D,15,1138,0,0,0.24,0.55,0.08+0.08,0.39+0.39,0.01,0.03
20,21,Chris Löwe,D M,29,2052,0,2,0.79,0.88,0.49+0.49,1.78-0.22,0.02,0.08
21,22,Collin Quaner,S,2,34,0,0,0.0,2.65,0.00,0.10+0.10,0.0,0.26
22,23,Rajiv van La Parra,F M,5,411,0,0,1.09,0.88,0.24+0.24,0.07+0.07,0.05,0.02
23,24,Danny Williams,M,5,94,0,0,0.96,0.96,0.02+0.02,0.03+0.03,0.01,0.03
24,25,Laurent Depoitre,F,23,1039,0,1,2.6,0.78,2.67+2.67,0.46-0.54,0.23,0.04
25,26,Joel Coleman,GK,1,90,0,0,0.0,0.0,0.00,0.00,0.0,0.0
26,27,Abdelhamid Sabiri,F,2,51,0,0,0.0,0.0,0.00,0.00,0.0,0.0
27,28,Jonathan Hogg,M,29,2392,0,1,0.3,0.56,0.26+0.26,0.73-0.27,0.01,0.03
28,29,Demeaco Duhaney,D,1,49,0,0,0.0,0.0,0.00,0.00,0.0,0.0
29,30,Matty Daly,S,2,71,0,0,0.0,0.0,0.00,0.00,0.0,0.0
30,31,Aaron Rowe,M,2,68,0,0,0.0,0.0,0.00,0.00,0.0,0.0
