,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
0,1,Eden Hazard,F,37,2935,16,15,2.85,3.01,12.30-3.70,11.57-3.43,0.38,0.35
1,2,Pedro,F,31,1777,8,2,2.89,1.47,5.98-2.02,3.88+1.88,0.3,0.2
2,3,Ruben Loftus-Cheek,M,24,969,6,2,2.6,1.58,3.24-2.76,1.01-0.99,0.3,0.09
3,4,Gonzalo Higuaín,F,14,1100,5,0,3.76,1.23,5.38+0.38,1.43+1.43,0.44,0.12
4,5,Álvaro Morata,F,16,951,5,0,3.31,0.66,6.41+1.41,0.21+0.21,0.61,0.02
5,6,N'Golo Kanté,M,36,3103,4,4,0.84,1.33,3.03-0.97,3.73-0.27,0.09,0.11
6,7,Ross Barkley,M,27,1228,3,5,2.93,1.61,3.65+0.65,2.52-2.48,0.27,0.18
7,8,Willian,F,32,2123,3,6,2.63,3.35,4.35+1.35,6.52+0.52,0.18,0.28
8,9,David Luiz,D,36,3240,3,2,0.94,0.56,2.90-0.10,2.86+0.86,0.08,0.08
9,10,Olivier Giroud,F,27,808,2,4,3.56,2.0,5.06+3.06,2.29-1.71,0.56,0.26
10,11,Jorginho,M,37,3179,2,0,0.54,0.85,1.30-0.70,3.07+3.07,0.04,0.09
11,12,Marcos Alonso,D,31,2764,2,4,1.47,1.04,3.56+1.56,3.92-0.08,0.12,0.13
12,13,César Azpilicueta,D,38,3405,1,5,0.45,0.71,1.26+0.26,2.42-2.58,0.03,0.06
13,14,Antonio Rüdiger,D,33,2875,1,0,0.85,0.25,2.66+1.66,0.90+0.90,0.08,0.03
14,15,Andreas Christensen,D,8,614,0,0,0.0,0.0,0.00,0.00,0.0,0.0
15,16,Victor Moses,S,2,24,0,0,0.0,3.75,0.00,0.11+0.11,0.0,0.4
16,17,Willy Caballero,GK,2,180,0,0,0.0,0.0,0.00,0.00,0.0,0.0
17,18,Cesc Fàbregas,M,6,167,0,0,0.54,1.62,0.06+0.06,0.22+0.22,0.03,0.12
18,19,Gary Cahill,S,2,22,0,0,0.0,0.0,0.00,0.00,0.0,0.0
19,20,Davide Zappacosta,D,4,119,0,0,1.51,0.76,0.15+0.15,0.13+0.13,0.12,0.1
20,21,Emerson,D,10,653,0,0,0.69,0.69,0.27+0.27,0.60+0.60,0.04,0.08
21,22,Mateo Kovacic,M,32,1756,0,2,1.44,1.28,2.02+2.02,2.01+0.01,0.1,0.1
22,23,Kepa,GK,36,3240,0,0,0.0,0.0,0.00,0.00,0.0,0.0
23,24,Callum Hudson-Odoi,F,10,390,0,1,1.38,2.08,0.99+0.99,1.57+0.57,0.23,0.36
