,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
0,1,Gerard Deulofeu,F,30,2110,10,5,2.56,1.28,8.33-1.67,4.96-0.04,0.36,0.21
1,2,Troy Deeney,F,32,2552,9,5,2.26,1.48,10.23+1.23,4.69-0.31,0.36,0.17
2,3,Andre Gray,F,29,1343,7,2,2.35,0.94,5.85-1.15,2.10+0.10,0.39,0.14
3,4,Roberto Pereyra,M,33,2837,6,1,1.81,1.08,5.38-0.62,3.54+2.54,0.17,0.11
4,5,Abdoulaye Doucouré,M,35,3062,5,6,1.5,1.12,6.85+1.85,5.39-0.61,0.2,0.16
5,6,José Holebas,D,28,2395,3,6,0.64,1.43,0.94-2.06,4.58-1.42,0.04,0.17
6,7,Craig Cathcart,D,36,3104,3,0,0.38,0.03,1.85-1.15,0.11+0.11,0.05,0.0
7,8,Will Hughes,M,32,2454,2,4,1.14,1.06,2.97+0.97,3.66-0.34,0.11,0.13
8,9,Etienne Capoue,M,33,2951,1,3,0.55,0.3,1.30+0.30,1.37-1.63,0.04,0.04
9,10,Tom Cleverley,M,13,453,1,0,0.79,0.2,0.17-0.83,0.11+0.11,0.03,0.02
10,11,Isaac Success,F M,30,1015,1,1,2.57,1.86,3.29+2.29,3.01+2.01,0.29,0.27
11,12,Kiko Femenía,D M,29,2034,1,1,0.27,0.58,0.50-0.50,1.64+0.64,0.02,0.07
12,13,Domingos Quina,M,8,328,1,0,1.37,0.55,0.20-0.80,0.09+0.09,0.05,0.03
13,14,Ken Sema,M,17,772,1,2,1.4,0.93,0.87-0.13,0.77-1.23,0.1,0.09
14,15,Adrian Mariappa,D,26,1921,0,0,0.33,0.23,1.39+1.39,0.70+0.70,0.06,0.03
15,16,Sebastian Prödl,S,1,13,0,0,0.0,0.0,0.00,0.00,0.0,0.0
16,17,Miguel Britos,D,3,185,0,0,0.0,0.0,0.00,0.00,0.0,0.0
17,18,Daryl Janmaat,D,18,1524,0,2,0.65,0.71,0.47+0.47,0.58-1.42,0.03,0.03
18,19,Ben Foster,GK,38,3420,0,0,0.03,0.13,0.02+0.02,0.21+0.21,0.0,0.01
19,20,Adam Masina,D,14,1004,0,1,0.27,0.27,0.05+0.05,0.69-0.31,0.0,0.06
20,21,Nathaniel Chalobah,M,9,264,0,0,0.68,0.34,0.08+0.08,0.22+0.22,0.03,0.08
21,22,Christian Kabasele,D,21,1585,0,0,0.45,0.11,1.54+1.54,0.18+0.18,0.09,0.01
22,23,Stefano Okaka,S,2,18,0,0,10.0,10.0,0.56+0.56,0.15+0.15,2.78,0.75
23,24,Marc Navarro,D,2,87,0,0,0.0,0.0,0.00,0.00,0.0,0.0
24,25,Ben Wilmot,S,2,24,0,0,0.0,0.0,0.00,0.00,0.0,0.0
