,Date,Home Team,Away Team,Home,Draw,Away
0,2019-08-18,Sheffield Utd,Crystal Palace,0.38636363636363635,0.06451612903225806,0.0025
1,2019-08-18,Chelsea,Leicester,,,
2,2019-08-19,Wolves,Man Utd,0.3125,0.2982456140350877,0.4
3,2019-08-23,Aston Villa,Everton,0.2857142857142857,0.26865671641791045,0.4444444444444444
4,2019-08-24,Norwich,Chelsea,0.2222222222222222,0.25,0.5357142857142857
5,2019-08-24,Brighton,Southampton,0.4,0.29411764705882354,0.3125
6,2019-08-24,Man Utd,Crystal Palace,0.7142857142857143,0.19402985074626866,0.1
7,2019-08-24,Sheffield Utd,Leicester,0.2631578947368421,0.2777777777777778,0.45454545454545453
8,2019-08-24,Watford,West Ham,0.43478260869565216,0.2777777777777778,0.2982456140350877
9,2019-08-24,Wolves,Burnley,0.5294117647058824,0.2777777777777778,0.2
10,2019-08-24,Liverpool,Arsenal,0.6521739130434783,0.20212765957446807,0.15384615384615385
11,2019-08-25,Bournemouth,Man City,0.06666666666666667,0.13333333333333333,0.8095238095238095
12,2019-08-25,Tottenham,Newcastle,0.8,0.13513513513513514,0.058823529411764705
