AFC Bournemouth ,£288.00m
Arsenal FC ,£607.28m
Aston Villa  ,£141.75m
Brighton & Hove Albion ,£199.58m
Burnley FC ,£185.18m
Chelsea FC ,£752.18m
Crystal Palace ,£207.63m
Everton FC ,£483.30m
Leicester City ,£371.48m
Liverpool FC ,£976.28m
Manchester City ,£1.16bn
Manchester United ,£698.49m
Newcastle United ,£227.32m
Norwich City  ,£83.12m
Sheffield United  ,£63.14m
Southampton FC ,£261.63m
Tottenham Hotspur ,£886.05m
Watford FC ,£232.97m
West Ham United ,£309.83m
Wolverhampton Wanderers ,£282.24m
