,Date,Home Team,Away Team,Home,Draw,Away
0,2019-08-19,Wolves,Man Utd,0.30303030303030304,0.29411764705882354,0.4166666666666667
1,2019-08-23,Aston Villa,Everton,0.2857142857142857,0.2714285714285714,0.4444444444444444
2,2019-08-24,Norwich,Chelsea,0.2222222222222222,0.25,0.5357142857142857
3,2019-08-24,Brighton,Southampton,0.39285714285714285,0.29411764705882354,0.3125
4,2019-08-24,Man Utd,Crystal Palace,0.7142857142857143,0.19402985074626866,0.1
5,2019-08-24,Sheffield Utd,Leicester,0.2564102564102564,0.2777777777777778,0.45454545454545453
6,2019-08-24,Watford,West Ham,0.43478260869565216,0.2777777777777778,0.29896907216494845
7,2019-08-24,Wolves,Burnley,0.5333333333333333,0.2777777777777778,0.2
8,2019-08-24,Liverpool,Arsenal,0.660377358490566,0.20408163265306123,0.15384615384615385
9,2019-08-25,Bournemouth,Man City,0.058823529411764705,0.13333333333333333,0.8095238095238095
10,2019-08-25,Tottenham,Newcastle,0.8,0.13513513513513514,0.058823529411764705
