,Date,Home Team,Away Team,Home,Draw,Away
0,2019-08-10,West Ham,Man City,0.001,0.001,0.7777777777777778
1,2019-08-10,Tottenham,Aston Villa,0.40384615384615385,0.05714285714285714,0.003703703703703704
2,2019-08-11,Leicester,Wolves,0.4444444444444444,0.2982456140350877,0.26666666666666666
3,2019-08-11,Newcastle,Arsenal,0.23076923076923078,0.26666666666666666,0.5063291139240507
4,2019-08-11,Man Utd,Chelsea,0.4444444444444444,0.29411764705882354,0.2702702702702703
5,2019-08-17,Arsenal,Burnley,0.7435897435897436,0.15384615384615385,0.07142857142857142
6,2019-08-17,Aston Villa,Bournemouth,0.4,0.2765957446808511,0.33064516129032256
7,2019-08-17,Brighton,West Ham,0.37037037037037035,0.2926829268292683,0.3448275862068966
8,2019-08-17,Everton,Watford,0.5555555555555556,0.24390243902439024,0.2
9,2019-08-17,Norwich,Newcastle,0.3275862068965517,0.27906976744186046,0.3064516129032258
10,2019-08-17,Southampton,Liverpool,0.125,0.20634920634920634,0.6774193548387096
11,2019-08-17,Man City,Tottenham,0.6521739130434783,0.18181818181818182,0.1111111111111111
12,2019-08-18,Sheffield Utd,Crystal Palace,0.34782608695652173,0.29411764705882354,0.3488372093023256
13,2019-08-18,Chelsea,Leicester,0.5882352941176471,0.2631578947368421,0.15873015873015872
14,2019-08-19,Wolves,Man Utd,0.27419354838709675,0.28378378378378377,0.43478260869565216
