,Date,Home Team,Away Team,Home,Draw,Away
0,2019-08-23,Aston Villa,Everton,0.29411764705882354,0.27419354838709675,0.43478260869565216
1,2019-08-24,Norwich,Chelsea,0.23529411764705882,0.25,0.5294117647058824
2,2019-08-24,Brighton,Southampton,0.3977272727272727,0.29411764705882354,0.3142857142857143
3,2019-08-24,Man Utd,Crystal Palace,0.7307692307692307,0.19047619047619047,0.09523809523809523
4,2019-08-24,Sheffield Utd,Leicester,0.2777777777777778,0.2926829268292683,0.4444444444444444
5,2019-08-24,Watford,West Ham,0.45454545454545453,0.2777777777777778,0.2777777777777778
6,2019-08-24,Liverpool,Arsenal,0.6521739130434783,0.2,0.15384615384615385
7,2019-08-25,Bournemouth,Man City,0.06666666666666667,0.13157894736842105,0.8181818181818182
8,2019-08-25,Tottenham,Newcastle,0.8,0.1388888888888889,0.06666666666666667
9,2019-08-25,Wolves,Burnley,0.5333333333333333,0.2777777777777778,0.2
10,2019-08-31,Southampton,Man Utd,0.21739130434782608,0.2826086956521739,0.5128205128205128
11,2019-08-31,Chelsea,Sheffield Utd,0.7272727272727273,0.19047619047619047,0.09090909090909091
12,2019-08-31,Crystal Palace,Aston Villa,0.46153846153846156,0.29411764705882354,0.2676056338028169
13,2019-08-31,Leicester,Bournemouth,0.5625,0.24390243902439024,0.20833333333333334
14,2019-08-31,Man City,Brighton,0.8947368421052632,0.09090909090909091,0.03225806451612903
15,2019-08-31,Newcastle,Watford,0.38095238095238093,0.2962962962962963,0.3448275862068966
16,2019-08-31,West Ham,Norwich,0.4962962962962963,0.2564102564102564,0.25
17,2019-08-31,Burnley,Liverpool,0.08333333333333333,0.18181818181818182,0.7435897435897436
18,2019-09-01,Everton,Wolves,0.45454545454545453,0.29411764705882354,0.2702702702702703
19,2019-09-01,Arsenal,Tottenham,0.38095238095238093,0.2619047619047619,0.37037037037037035
