,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
0,1,Paul Pogba,M,35,3013,13,9,3.14,1.64,15.88+2.88,5.19-3.81,0.47,0.15
1,2,Romelu Lukaku,F,32,2113,12,0,2.34,0.89,13.11+1.11,2.32+2.32,0.56,0.1
2,3,Anthony Martial,F M,27,1632,10,2,2.15,1.99,7.95-2.05,3.25+1.25,0.44,0.18
3,4,Marcus Rashford,F M,33,2360,10,6,3.2,1.45,11.61+1.61,5.27-0.73,0.44,0.2
4,5,Jesse Lingard,F M,27,1677,4,2,1.72,0.91,4.84+0.84,3.16+1.16,0.26,0.17
5,6,Juan Mata,F M,22,1306,3,2,1.31,2.07,1.58-1.42,3.70+1.70,0.11,0.26
6,7,Ander Herrera,D M,22,1404,2,3,1.35,0.96,1.51-0.49,2.06-0.94,0.1,0.13
7,8,Ashley Young,D,30,2565,2,2,0.42,1.37,0.49-1.51,4.00+2.00,0.02,0.14
8,9,Scott McTominay,D M,16,852,2,0,1.58,0.11,1.59-0.41,0.02+0.02,0.17,0.0
9,10,Alexis Sánchez,F M,20,875,1,3,1.75,2.16,1.71+0.71,3.55+0.55,0.18,0.36
10,11,Chris Smalling,D,24,2130,1,0,0.46,0.08,1.11+0.11,0.12+0.12,0.05,0.01
11,12,Nemanja Matic,D M,28,2450,1,0,0.44,0.48,1.71+0.71,0.56+0.56,0.06,0.02
12,13,Andreas Pereira,M,15,593,1,1,1.21,1.37,0.27-0.73,0.88-0.12,0.04,0.13
13,14,Luke Shaw,D M,29,2594,1,4,0.73,1.14,1.53+0.53,4.32+0.32,0.05,0.15
14,15,Victor Lindelöf,D,30,2604,1,1,0.28,0.17,0.84-0.16,1.58+0.58,0.03,0.05
15,16,Fred,M,17,1045,1,1,1.46,1.03,0.90-0.10,0.95-0.05,0.08,0.08
16,17,David de Gea,GK,38,3420,0,0,0.0,0.0,0.00,0.00,0.0,0.0
17,18,Marcos Rojo,D,5,208,0,0,2.6,0.0,0.24+0.24,0.00,0.1,0.0
18,19,Matteo Darmian,D M,6,447,0,0,0.2,0.4,0.03+0.03,0.05+0.05,0.01,0.01
19,20,Antonio Valencia,D M,6,465,0,0,0.39,1.35,0.04+0.04,0.53+0.53,0.01,0.1
20,21,Marouane Fellaini,M,14,728,0,1,0.87,0.37,0.73+0.73,0.20-0.80,0.09,0.03
21,22,Phil Jones,D,18,1266,0,1,0.36,0.21,0.55+0.55,0.82-0.18,0.04,0.06
22,23,Eric Bailly,D,12,639,0,0,0.42,0.0,0.25+0.25,0.00,0.04,0.0
23,24,Angel Gomes,S,2,23,0,0,7.83,0.0,0.11+0.11,0.00,0.42,0.0
24,25,Diogo Dalot,D F M,16,1015,0,2,1.33,1.51,0.72+0.72,2.73+0.73,0.06,0.24
25,26,James Garner,S,1,1,0,0,0.0,0.0,0.00,0.00,0.0,0.0
26,27,Tahith Chong,S,2,35,0,0,5.14,0.0,0.29+0.29,0.00,0.76,0.0
27,28,Mason Greenwood,F,3,111,0,0,5.68,2.43,0.80+0.80,0.07+0.07,0.65,0.06
