,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
0,1,Raúl Jiménez,F M,38,3143,13,7,3.18,1.2,14.27+1.27,6.99-0.01,0.41,0.2
1,2,Diogo Jota,F M,33,2402,9,5,2.17,1.01,8.91-0.09,5.54+0.54,0.33,0.21
2,3,Willy Boly,D,36,3168,4,0,0.65,0.31,3.63-0.37,1.57+1.57,0.1,0.04
3,4,Matt Doherty,M,38,3145,4,5,1.32,1.09,5.28+1.28,5.04+0.04,0.15,0.14
4,5,Rúben Neves,M,35,3014,4,3,2.21,0.72,3.39-0.61,1.88-1.12,0.1,0.06
5,6,Ivan Cavaleiro,F M,23,670,3,1,1.75,2.55,2.37-0.63,1.58+0.58,0.32,0.21
6,7,Romain Saiss,D M,19,1133,2,0,0.87,0.32,1.29-0.71,0.73+0.73,0.1,0.06
7,8,Leander Dendoncker,M,19,1474,2,0,1.04,0.43,4.17+2.17,1.29+1.29,0.25,0.08
8,9,Ryan Bennett,D,34,3060,1,0,0.44,0.26,1.00,0.79+0.79,0.03,0.02
9,10,Adama Traoré,F M,29,879,1,1,1.95,1.74,1.26+0.26,2.20+1.20,0.13,0.23
10,11,Jonny,M,33,2792,1,1,0.81,1.0,1.85+0.85,1.76+0.76,0.06,0.06
11,12,João Moutinho,M,38,3053,1,8,0.53,2.48,0.51-0.49,6.53-1.47,0.01,0.19
12,13,Hélder Costa,F M,25,1345,1,2,1.67,1.14,2.66+1.66,2.01+0.01,0.18,0.13
13,14,John Ruddy,GK,1,90,0,0,0.0,0.0,0.00,0.00,0.0,0.0
14,15,Rui Patrício,GK,37,3330,0,0,0.0,0.0,0.00,0.00,0.0,0.0
15,16,Conor Coady,D,38,3420,0,0,0.0,0.05,0.00,0.01+0.01,0.0,0.0
16,17,Léo Bonatini,S,7,117,0,1,6.92,1.54,1.55+1.55,0.16-0.84,1.19,0.12
17,18,Rúben Vinagre,M,17,697,0,0,0.52,0.77,0.45+0.45,0.87+0.87,0.06,0.11
18,19,Morgan Gibbs-White,F M,26,628,0,1,1.15,1.58,0.99+0.99,1.30+0.30,0.14,0.19
19,20,Max Kilman,S,1,1,0,0,0.0,0.0,0.00,0.00,0.0,0.0
20,21,Will Norris,S,1,1,0,0,0.0,0.0,0.00,0.00,0.0,0.0
