,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
0,1,Harry Kane,F,28,2437,17,4,3.77,1.11,16.12-0.88,4.56+0.56,0.6,0.17
1,2,Son Heung-Min,F M,31,2061,12,6,3.23,1.44,8.36-3.64,3.97-2.03,0.37,0.17
2,3,Lucas Moura,F M,32,2133,10,0,1.9,1.14,7.59-2.41,1.66+1.66,0.32,0.07
3,4,Christian Eriksen,M,35,2772,8,12,2.69,2.37,5.66-2.34,7.88-4.12,0.18,0.26
4,5,Dele Alli,M,25,1847,5,3,1.9,1.32,5.95+0.95,3.29+0.29,0.29,0.16
5,6,Erik Lamela,M,19,969,4,2,2.69,2.14,3.76-0.24,2.17+0.17,0.35,0.2
6,7,Eric Dier,D M,20,1519,3,0,0.53,0.47,1.42-1.58,1.10+1.10,0.08,0.07
7,8,Jan Vertonghen,D,22,1925,1,0,0.7,0.19,1.01+0.01,0.24+0.24,0.05,0.01
8,9,Kieran Trippier,D M,27,2278,1,3,0.32,1.94,0.46-0.54,4.85+1.85,0.02,0.19
9,10,Victor Wanyama,M,13,499,1,0,1.26,0.36,1.08+0.08,0.06+0.06,0.19,0.01
10,11,Harry Winks,M,26,1578,1,0,0.51,0.4,1.09+0.09,0.24+0.24,0.06,0.01
11,12,Fernando Llorente,F,20,674,1,4,3.2,1.87,3.50+2.50,2.01-1.99,0.47,0.27
12,13,Davinson Sánchez,D,23,1943,1,1,0.65,0.19,1.62+0.62,0.62-0.38,0.08,0.03
13,14,Juan Foyth,D,12,889,1,0,0.4,0.4,0.70-0.30,0.79+0.79,0.07,0.08
14,15,Hugo Lloris,GK,33,2970,0,0,0.0,0.0,0.00,0.00,0.0,0.0
15,16,Toby Alderweireld,D,34,2926,0,0,0.58,0.22,0.99+0.99,0.49+0.49,0.03,0.02
16,17,Danny Rose,D M,26,1798,0,3,0.75,1.3,0.80+0.80,2.59-0.41,0.04,0.13
17,18,Mousa Dembélé,M,10,518,0,0,0.17,0.0,0.03+0.03,0.00,0.01,0.0
18,19,Michel Vorm,GK,2,180,0,0,0.0,0.0,0.00,0.00,0.0,0.0
19,20,Ben Davies,D M,27,1831,0,0,0.69,0.74,0.57+0.57,2.25+2.25,0.03,0.11
20,21,Moussa Sissoko,M,29,2344,0,3,0.58,0.96,0.96+0.96,2.79-0.21,0.04,0.11
21,22,Kyle Walker-Peters,D M,6,372,0,3,0.48,1.69,0.35+0.35,0.48-2.52,0.08,0.12
22,23,Paulo Gazzaniga,GK,3,270,0,0,0.0,0.0,0.00,0.00,0.0,0.0
23,24,Georges-Kévin Nkoudou,S,1,3,0,1,0.0,30.0,0.00,0.61-0.39,0.0,18.23
24,25,Vincent Janssen,S,3,34,0,0,7.94,0.0,0.31+0.31,0.00,0.81,0.0
25,26,Serge Aurier,D M,8,566,0,2,0.64,0.95,0.14+0.14,1.26-0.74,0.02,0.2
26,27,Luke Amos,S,1,1,0,0,0.0,0.0,0.00,0.00,0.0,0.0
27,28,Oliver Skipp,M,8,207,0,0,0.87,0.43,0.06+0.06,0.03+0.03,0.02,0.01
